Severity,Safety_Score,Days_Since_Inspection,Control_Metric,Turbulence_In_gforces,Cabin_Temperature,Accident_Type_Code,Max_Elevation,addition
Minor_Damage_And_Injuries,49.22374429,14,71.28532361,0.272117562,78.04,2,31335.47682,25
Minor_Damage_And_Injuries,62.46575342,10,72.28805834,0.423938695,84.54,2,26024.71106,29
Significant_Damage_And_Fatalities,63.05936073,13,66.36280766,0.3226044,78.86,7,39269.05393,19
Significant_Damage_And_Serious_Injuries,48.08219178,11,74.70373747,0.33702921,81.79,3,42771.4992,10
Significant_Damage_And_Fatalities,26.48401826,13,47.94895169,0.541140281,77.16,3,35509.22852,27
Minor_Damage_And_Injuries,43.33333333,15,73.33637192,0.432954201,78.63,2,29288.4481,1
Highly_Fatal_And_Damaging,22.00913242,15,62.8532361,0.314670754,88.04,4,32342.10935,10
Minor_Damage_And_Injuries,24.70319635,18,60.80218778,0.548352687,83.48,4,22547.19524,6
Highly_Fatal_And_Damaging,54.84018265,5,69.2342753,0.335586729,78.24,2,45751.98341,40
Significant_Damage_And_Serious_Injuries,52.23744292,6,57.42935278,0.465410025,79.56,1,37933.399,5
Highly_Fatal_And_Damaging,36.66666667,11,80.21877849,0.452788316,81.15,2,31463.56857,13
Significant_Damage_And_Serious_Injuries,48.12785388,11,62.80765725,0.329095564,77.8,3,22570.0304,6
Significant_Damage_And_Serious_Injuries,42.87671233,12,68.96080219,0.159604039,77.23,3,44697.86874,17
Significant_Damage_And_Fatalities,63.65296804,13,78.66909754,0.232088713,80.78,7,30882.72638,7
Highly_Fatal_And_Damaging,26.02739726,14,83.54603464,0.362993869,81.63,3,18915.50902,4
Highly_Fatal_And_Damaging,49.5890411,7,85.5515041,0.270314461,78.86,3,25083.65791,3
Highly_Fatal_And_Damaging,10.86757991,18,68.00364631,0.30962207,82.08,6,47893.71797,4
Significant_Damage_And_Fatalities,38.76712329,10,37.83044667,0.600282005,80.82,4,35910.20041,5
Significant_Damage_And_Fatalities,78.21917808,8,61.48587056,0.338111071,82.2,2,34354.11122,5
Significant_Damage_And_Fatalities,20.2283105,15,41.56791249,0.687191489,78.37,2,11503.38856,3
Minor_Damage_And_Injuries,52.46575342,13,73.24521422,0.221991345,81.62,2,39835.71831,1
Minor_Damage_And_Injuries,38.44748858,17,74.93163172,0.326571223,79.31,2,37435.5728,7
Highly_Fatal_And_Damaging,44.84018265,8,80.5834093,0.249759106,78.21,4,45783.52766,2
Minor_Damage_And_Injuries,43.88127854,15,68.00364631,0.338471691,78.97,1,45541.23675,3
Significant_Damage_And_Fatalities,25.29680365,14,47.26526892,0.594872701,76.19,5,49288.63551,8
Significant_Damage_And_Fatalities,61.82648402,13,66.1349134,0.423217454,78.07,6,42607.0711,8
Significant_Damage_And_Fatalities,59.26940639,14,61.62260711,0.331980527,90.87,7,32342.31338,6
Highly_Fatal_And_Damaging,24.33789954,14,70.78395624,0.267790119,76.75,4,26538.32226,1
Significant_Damage_And_Fatalities,55.02283105,15,70.32816773,0.51229066,77.03,7,28451.0147,9
Highly_Fatal_And_Damaging,65.75342466,5,48.13126709,0.638147133,79.75,3,39150.6722,21
Minor_Damage_And_Injuries,68.76712329,8,74.65815861,0.334504868,78.78,5,15868.44394,4
Minor_Damage_And_Injuries,32.64840183,15,48.63263446,0.4311511,78.29,4,35960.9764,3
Highly_Fatal_And_Damaging,48.35616438,7,76.75478578,0.293033538,77.27,4,41509.54528,5
Highly_Fatal_And_Damaging,53.92694064,12,44.71285324,0.571071763,78.7,5,28579.16605,6
Significant_Damage_And_Serious_Injuries,54.74885845,9,60.61987238,0.527436711,79.42,7,52249.61015,31
Significant_Damage_And_Fatalities,14.52054795,17,55.60619872,0.30998269,77.18,2,31365.23957,6
Significant_Damage_And_Fatalities,40.82191781,9,41.02096627,0.543304003,76.8,1,45255.70074,9
Significant_Damage_And_Serious_Injuries,43.65296804,12,59.6627165,0.422135593,81.86,6,37571.9051,2
Minor_Damage_And_Injuries,75.98173516,6,67.86690975,0.352535882,81.26,2,28213.42762,16
Minor_Damage_And_Injuries,40,13,49.86326345,0.357223945,78.62,6,46457.44044,11
Minor_Damage_And_Injuries,47.89954338,14,97.99453054,0.209009016,77.52,2,21526.32425,3
Highly_Fatal_And_Damaging,32.55707763,12,68.96080219,0.30998269,76.39,2,31195.99272,9
Highly_Fatal_And_Damaging,44.79452055,8,68.91522334,0.151670393,76.89,4,36156.82636,2
Highly_Fatal_And_Damaging,46.25570776,7,67.50227894,0.2692326,75.35,4,38277.02016,2
Significant_Damage_And_Serious_Injuries,41.36986301,13,61.66818596,0.387876668,80.35,3,37974.61717,20
Minor_Damage_And_Injuries,53.65296804,9,53.0993619,0.410235124,80,3,22418.79746,5
Minor_Damage_And_Injuries,42.10045662,12,49.86326345,0.354338983,79.12,3,52513.91269,12
Significant_Damage_And_Fatalities,65.29680365,13,74.06563355,0.466131266,79.53,7,21079.29955,12
Significant_Damage_And_Fatalities,19.40639269,15,53.32725615,0.266708258,75.2,4,19484.24361,6
